"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
2.486499317E-3,1.794713669E-2,2.478734362E1,1.502300000E-5,1.600000024E0,5.000000000E1
6.649124320E-3,1.807605002E-2,2.487625339E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.081166632E-2,1.803342941E-2,2.482680521E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.497420833E-2,1.784337447E-2,2.475053429E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.913683332E-2,1.795239752E-2,2.486489523E1,1.502300000E-5,1.600000024E0,5.000000000E1
2.329945832E-2,1.774119279E-2,2.481239545E1,1.502300000E-5,1.600000024E0,5.000000000E1
2.746195832E-2,1.787715714E-2,2.481964440E1,1.502300000E-5,1.600000024E0,5.000000000E1
3.578720833E-2,1.799459720E-2,2.491002213E1,1.502300000E-5,1.600000024E0,5.000000000E1
3.994974932E-2,1.780591151E-2,2.475856817E1,1.502300000E-5,1.600000024E0,5.000000000E1
4.411233333E-2,1.785452835E-2,2.482293562E1,1.502300000E-5,1.600000024E0,5.000000000E1
4.827491632E-2,1.800069989E-2,2.484296387E1,1.502300000E-5,1.600000024E0,5.000000000E1
5.243745832E-2,1.790714814E-2,2.483457745E1,1.502300000E-5,1.600000024E0,5.000000000E1
5.660008332E-2,1.791956482E-2,2.482028337E1,1.502300000E-5,1.600000024E0,5.000000000E1
6.076274933E-2,1.804900226E-2,2.489050616E1,1.502300000E-5,1.600000024E0,5.000000000E1
6.492529133E-2,1.787957627E-2,2.478338865E1,1.502300000E-5,1.600000024E0,5.000000000E1
6.908787432E-2,1.792451118E-2,2.478550935E1,1.502300000E-5,1.600000024E0,5.000000000E1
7.325037432E-2,1.779749123E-2,2.472469201E1,1.502300000E-5,1.600000024E0,5.000000000E1
7.741304132E-2,1.794166457E-2,2.476938651E1,1.502300000E-5,1.600000024E0,5.000000000E1
8.157562432E-2,1.793955991E-2,2.480647401E1,1.502300000E-5,1.600000024E0,5.000000000E1
8.573816632E-2,1.802774601E-2,2.479746240E1,1.502300000E-5,1.600000024E0,5.000000000E1
8.990083332E-2,1.795292328E-2,2.479755054E1,1.502300000E-5,1.600000024E0,5.000000000E1
9.406337433E-2,1.808983432E-2,2.481639449E1,1.502300000E-5,1.600000024E0,5.000000000E1
9.822595833E-2,1.782380031E-2,2.473050329E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.023884993E-1,1.805363415E-2,2.483483083E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.065510413E-1,1.795408125E-2,2.479137847E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.107137083E-1,1.790556760E-2,2.482792340E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.148763333E-1,1.792693031E-2,2.479727512E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.190388743E-1,1.815634323E-2,2.487514071E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.232014583E-1,1.790483220E-2,2.479499468E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.273639993E-1,1.789409925E-2,2.482545568E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.315266243E-1,1.798259981E-2,2.480035427E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.356891663E-1,1.804963612E-2,2.479339451E1,1.502300000E-5,1.600000024E0,5.000000000E1
