"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.833333299E-4,-1.981878662E-1,5.059478760E-2,9.779613190E0,9.781752011E0
9.789666670E-3,-1.974394226E-1,4.191284180E-2,9.758656769E0,9.760743872E0
1.976366666E-2,-2.025288391E-1,3.742218018E-2,9.783355408E0,9.785523051E0
2.973766666E-2,-1.951940918E-1,3.951782227E-2,9.775122528E0,9.777151059E0
3.971166666E-2,-1.938468933E-1,4.071533203E-2,9.762398987E0,9.764408243E0
4.968766667E-2,-2.058219910E-1,4.984634399E-2,9.769134979E0,9.771430069E0
5.966266667E-2,-2.053729248E-1,4.355941772E-2,9.755662994E0,9.757921701E0
6.963766667E-2,-1.944456482E-1,4.311035156E-2,9.765841827E0,9.767872553E0
7.961266667E-2,-1.886077881E-1,5.134323120E-2,9.780062256E0,9.782015475E0
8.958866667E-2,-1.962419128E-1,5.313949585E-2,9.775122528E0,9.777236580E0
9.956366667E-2,-2.007325745E-1,5.748046875E-2,9.766590271E0,9.768821991E0
1.095396667E-1,-1.972897339E-1,5.358856201E-2,9.754764862E0,9.756906912E0
1.195146667E-1,-1.893562317E-1,5.104385376E-2,9.757459259E0,9.759429924E0
1.294879167E-1,-1.942959595E-1,5.867797852E-2,9.762548676E0,9.764658246E0
1.394619167E-1,-1.996847534E-1,4.670288086E-2,9.763147430E0,9.765300964E0
1.494359167E-1,-1.887574768E-1,4.385879517E-2,9.761650543E0,9.763573849E0
1.594109167E-1,-1.913021851E-1,5.104385376E-2,9.766889648E0,9.768896325E0
1.693869167E-1,-1.916015625E-1,5.373825073E-2,9.762398987E0,9.764426913E0
1.793619167E-1,-2.025288391E-1,4.760101318E-2,9.754764862E0,9.756983207E0
1.893369167E-1,-2.067201233E-1,4.370910645E-2,9.766590271E0,9.768875535E0
1.993119167E-1,-1.917512512E-1,5.433700562E-2,9.756710815E0,9.758746179E0
2.092869167E-1,-1.923500061E-1,5.688171387E-2,9.772727509E0,9.774785778E0
2.192619167E-1,-1.962419128E-1,5.358856201E-2,9.769883423E0,9.772001060E0
2.292369167E-1,-2.116598511E-1,5.254074097E-2,9.759255524E0,9.761691902E0
2.392109167E-1,-2.104623413E-1,5.613327026E-2,9.766290894E0,9.768719627E0
2.491859167E-1,-2.026785278E-1,5.553451538E-2,9.760153656E0,9.762415790E0
2.591609167E-1,-1.929487610E-1,6.286926270E-2,9.759854279E0,9.761963804E0
2.691359167E-1,-1.978884888E-1,5.448669434E-2,9.760453033E0,9.762610925E0
2.791109167E-1,-2.097138977E-1,3.861968994E-2,9.763596497E0,9.765924838E0
2.890869167E-1,-1.963916016E-1,4.415817261E-2,9.775272217E0,9.777344553E0
2.990619167E-1,-1.974394226E-1,5.373825073E-2,9.760752411E0,9.762896996E0
3.090379167E-1,-2.008822632E-1,3.936813354E-2,9.771829376E0,9.773973240E0
3.190139167E-1,-2.038760376E-1,4.490661621E-2,9.771979065E0,9.774208760E0
3.289889167E-1,-1.987866211E-1,5.583389282E-2,9.757459259E0,9.759643679E0
3.389649167E-1,-1.908531189E-1,5.239105225E-2,9.759405212E0,9.761411775E0
3.489409167E-1,-1.998344421E-1,4.355941772E-2,9.770931244E0,9.773071605E0
3.589159167E-1,-2.028282166E-1,5.014572144E-2,9.778715057E0,9.780946889E0
3.688909167E-1,-2.050735474E-1,5.164260864E-2,9.766440582E0,9.768729895E0
3.788659167E-1,-1.995350647E-1,4.819976807E-2,9.753866730E0,9.756026529E0
3.888409167E-1,-1.887574768E-1,5.074447632E-2,9.765692139E0,9.767647994E0
3.988159167E-1,-1.966909790E-1,4.640350342E-2,9.769284668E0,9.771374701E0
4.087909167E-1,-2.002835083E-1,4.296066284E-2,9.758507080E0,9.760656716E0
4.187649167E-1,-1.962419128E-1,4.700225830E-2,9.770931244E0,9.773014759E0
4.287399167E-1,-1.901046753E-1,5.867797852E-2,9.764494629E0,9.766521297E0
4.387149167E-1,-2.011816406E-1,5.433700562E-2,9.758507080E0,9.760731888E0
4.486899167E-1,-1.968406677E-1,5.538482666E-2,9.770631866E0,9.772771398E0
4.586649167E-1,-2.028282166E-1,4.535568237E-2,9.761201477E0,9.763413885E0
4.686399167E-1,-1.948947144E-1,4.745132446E-2,9.770332489E0,9.772391341E0
4.786139167E-1,-2.065704346E-1,4.745132446E-2,9.770482178E0,9.772780820E0
4.885879167E-1,-2.029779053E-1,4.879852295E-2,9.772128754E0,9.774358378E0
4.985619167E-1,-1.989363098E-1,4.131408691E-2,9.776020660E0,9.778131849E0
5.085359167E-1,-2.026785278E-1,4.520599365E-2,9.765991516E0,9.768199039E0
5.185089167E-1,-1.945953369E-1,5.882766724E-2,9.760303345E0,9.762420264E0
5.284819167E-1,-1.904040527E-1,4.969665527E-2,9.778116302E0,9.780096210E0
5.384569167E-1,-1.998344421E-1,4.131408691E-2,9.765991516E0,9.768123205E0
5.484319167E-1,-2.013313293E-1,5.119354248E-2,9.763746185E0,9.765955901E0
5.584059167E-1,-1.960922241E-1,5.538482666E-2,9.757309570E0,9.759436956E0
5.683799167E-1,-1.972897339E-1,4.864883423E-2,9.756561127E0,9.758676907E0
5.783539167E-1,-1.974394226E-1,5.673202515E-2,9.767638092E0,9.769798091E0
5.883289167E-1,-2.031275940E-1,5.403762817E-2,9.760752411E0,9.763015339E0
5.983039167E-1,-1.886077881E-1,5.568420410E-2,9.752519531E0,9.754502080E0
6.082779167E-1,-1.910028076E-1,4.879852295E-2,9.765542450E0,9.767532069E0
6.182529167E-1,-1.957928467E-1,4.864883423E-2,9.772428131E0,9.774510378E0
6.282279167E-1,-2.022294617E-1,4.730163574E-2,9.760303345E0,9.762512770E0
6.382029167E-1,-2.001338196E-1,5.044509888E-2,9.760752411E0,9.762934286E0
6.481779167E-1,-1.936972046E-1,5.269042969E-2,9.757608948E0,9.759673522E0
6.581539167E-1,-1.963916016E-1,4.191284180E-2,9.757908325E0,9.759974448E0
6.681289167E-1,-1.960922241E-1,4.640350342E-2,9.762997742E0,9.765077079E0
6.781039167E-1,-2.008822632E-1,5.298980713E-2,9.774823151E0,9.777030696E0
6.880789167E-1,-2.019300842E-1,4.670288086E-2,9.768236847E0,9.770435406E0
6.980539167E-1,-2.032772827E-1,4.490661621E-2,9.764494629E0,9.766713552E0
7.080299167E-1,-2.068698120E-1,5.897735596E-2,9.774673462E0,9.777040183E0
7.180049167E-1,-2.016307068E-1,5.972579956E-2,9.754615173E0,9.756881638E0
7.279799167E-1,-2.092648315E-1,5.882766724E-2,9.756112061E0,9.758533445E0
7.379559167E-1,-1.971400452E-1,4.775070190E-2,9.776020660E0,9.778124783E0
7.479309167E-1,-1.889071655E-1,5.164260864E-2,9.780810699E0,9.782771121E0
7.579059167E-1,-1.919009399E-1,5.463638306E-2,9.764195251E0,9.766233666E0
7.678819167E-1,-1.914518738E-1,5.792953491E-2,9.753118286E0,9.755169191E0
7.778559167E-1,-1.868115234E-1,4.715194702E-2,9.758207703E0,9.760109601E0
7.878309167E-1,-1.969903564E-1,4.236190796E-2,9.770182800E0,9.772260316E0
7.978059167E-1,-2.019300842E-1,4.236190796E-2,9.767787781E0,9.769966654E0
8.077809167E-1,-2.001338196E-1,3.817062378E-2,9.768985291E0,9.771109668E0
8.177559167E-1,-1.914518738E-1,4.445755005E-2,9.768685913E0,9.770662964E0
8.277309167E-1,-1.923500061E-1,4.146377563E-2,9.767488403E0,9.769470174E0
8.377069167E-1,-2.007325745E-1,5.942642212E-2,9.759704590E0,9.761949536E0
8.476819167E-1,-2.104623413E-1,6.047424316E-2,9.763746185E0,9.766201467E0
8.576579167E-1,-2.047741699E-1,5.613327026E-2,9.752070465E0,9.754381670E0
8.676339167E-1,-1.977388000E-1,5.763015747E-2,9.764045563E0,9.766217672E0
8.776089167E-1,-2.106120300E-1,5.837860107E-2,9.773026886E0,9.775470321E0
8.875849167E-1,-2.062710571E-1,6.511459351E-2,9.756710815E0,9.759108238E0
8.975599167E-1,-2.038760376E-1,5.867797852E-2,9.763147430E0,9.765452181E0
9.075359167E-1,-2.022294617E-1,4.700225830E-2,9.760003967E0,9.762212014E0
9.175109167E-1,-1.935475159E-1,4.146377563E-2,9.758058014E0,9.760065373E0
9.274859167E-1,-1.974394226E-1,4.086502075E-2,9.764794006E0,9.766875358E0
9.374619167E-1,-1.987866211E-1,3.727249146E-2,9.784852295E0,9.786942311E0
9.474379167E-1,-2.007325745E-1,3.293151855E-2,9.767338715E0,9.769456669E0
9.574129167E-1,-1.869612122E-1,3.323089600E-2,9.776769104E0,9.778613036E0
9.673889167E-1,-1.839674377E-1,4.924758911E-2,9.772727509E0,9.774582973E0
9.773639167E-1,-1.907034302E-1,5.284011841E-2,9.758058014E0,9.760064348E0
9.873379167E-1,-1.920506287E-1,4.999603271E-2,9.761201477E0,9.763218594E0
9.973129167E-1,-1.908531189E-1,5.224136353E-2,9.753417664E0,9.755424655E0
1.007285917E0,-1.881587219E-1,5.224136353E-2,9.746681671E0,9.748637672E0
1.017260917E0,-1.962419128E-1,4.969665527E-2,9.759854279E0,9.761953502E0
1.027236917E0,-1.989363098E-1,5.957611084E-2,9.743538208E0,9.745750960E0
1.037211917E0,-1.996847534E-1,6.152206421E-2,9.747579803E0,9.749819023E0
1.047186917E0,-2.005828857E-1,6.032455444E-2,9.755513306E0,9.757761649E0
1.057161917E0,-2.004331970E-1,4.954696655E-2,9.759105835E0,9.761289621E0
1.067136917E0,-2.092648315E-1,4.834945679E-2,9.785600739E0,9.787957461E0
1.077111917E0,-2.139051819E-1,4.475692749E-2,9.779912567E0,9.782353931E0
1.087086917E0,-2.023791504E-1,3.981719971E-2,9.777068481E0,9.779243878E0
1.097061917E0,-1.963916016E-1,4.430786133E-2,9.790690155E0,9.792759905E0
1.107036917E0,-2.041754150E-1,4.146377563E-2,9.785900116E0,9.788117691E0
1.117012917E0,-2.013313293E-1,4.460723877E-2,9.772877197E0,9.775052574E0
1.126988042E0,-2.034269714E-1,4.490661621E-2,9.783056030E0,9.785273856E0
1.136963042E0,-1.930984497E-1,5.942642212E-2,9.758207703E0,9.760298975E0
1.146938042E0,-1.835183716E-1,5.164260864E-2,9.758058014E0,9.759920192E0
1.156913042E0,-1.951940918E-1,3.787124634E-2,9.750124512E0,9.752151709E0
1.166888042E0,-2.019300842E-1,4.490661621E-2,9.728419647E0,9.730618747E0
1.176863042E0,-1.983375549E-1,5.508544922E-2,9.740394745E0,9.742569578E0
1.186838042E0,-1.890568542E-1,5.358856201E-2,9.746382294E0,9.748363044E0
1.196813042E0,-1.859133911E-1,4.655319214E-2,9.752669220E0,9.754552163E0
1.206789042E0,-1.887574768E-1,4.610412598E-2,9.750423889E0,9.752359765E0
1.216764042E0,-2.017803955E-1,4.745132446E-2,9.760303345E0,9.762504204E0
1.226739042E0,-1.932481384E-1,6.167175293E-2,9.761500854E0,9.763608307E0
1.236714042E0,-1.951940918E-1,4.849914551E-2,9.772128754E0,9.774198345E0
1.246688042E0,-2.001338196E-1,3.278182983E-2,9.773026886E0,9.775130828E0
1.256662042E0,-2.074685669E-1,3.802093506E-2,9.768536224E0,9.770813107E0
1.266637042E0,-2.052232361E-1,4.385879517E-2,9.772278442E0,9.774531504E0
1.276612042E0,-1.966909790E-1,5.298980713E-2,9.759554901E0,9.761680548E0
1.286587042E0,-1.926493835E-1,4.520599365E-2,9.757908325E0,9.759914562E0
1.296562042E0,-2.064207458E-1,4.745132446E-2,9.761800232E0,9.764097753E0
1.306537042E0,-2.050735474E-1,4.430786133E-2,9.752220154E0,9.754476730E0
1.316512042E0,-1.963916016E-1,4.954696655E-2,9.766440582E0,9.768540639E0
1.326486042E0,-1.947450256E-1,4.939727783E-2,9.759704590E0,9.761772349E0
1.336462042E0,-1.893562317E-1,4.580474854E-2,9.749974823E0,9.751920985E0
1.346436042E0,-1.945953369E-1,5.493576050E-2,9.768835602E0,9.770928016E0
1.356410042E0,-1.947450256E-1,5.837860107E-2,9.762099609E0,9.764216429E0
1.366384042E0,-1.895059204E-1,5.209167480E-2,9.757010193E0,9.758989391E0
1.376359042E0,-1.938468933E-1,4.864883423E-2,9.777068481E0,9.779110973E0
1.386334042E0,-2.023791504E-1,5.164260864E-2,9.775122528E0,9.777353666E0
1.396308042E0,-1.839674377E-1,5.074447632E-2,9.769284668E0,9.771148445E0
1.406283042E0,-1.939965820E-1,4.745132446E-2,9.767787781E0,9.769829294E0
1.416257042E0,-1.996847534E-1,4.445755005E-2,9.757010193E0,9.759154593E0
1.426231042E0,-1.989363098E-1,3.592529297E-2,9.760602722E0,9.762695928E0
1.436206042E0,-2.007325745E-1,3.592529297E-2,9.755962372E0,9.758093359E0
1.446181042E0,-2.073188782E-1,4.954696655E-2,9.764344940E0,9.766671292E0
1.456156042E0,-1.984872437E-1,4.984634399E-2,9.765392761E0,9.767536927E0
1.466131042E0,-1.971400452E-1,4.685256958E-2,9.758207703E0,9.760311313E0
1.476106042E0,-1.996847534E-1,4.954696655E-2,9.757608948E0,9.759777727E0
1.486081042E0,-1.963916016E-1,5.568420410E-2,9.766440582E0,9.768573695E0
1.496056042E0,-2.124082947E-1,5.104385376E-2,9.775870972E0,9.778311511E0
1.506031042E0,-1.908531189E-1,5.822891235E-2,9.758058014E0,9.760097936E0
1.516005042E0,-1.878593445E-1,4.460723877E-2,9.757608948E0,9.759519113E0
1.525979042E0,-1.920506287E-1,4.700225830E-2,9.764644318E0,9.766645858E0
1.535954042E0,-1.878593445E-1,5.448669434E-2,9.768087158E0,9.770045377E0
1.545929042E0,-1.974394226E-1,4.790039063E-2,9.776619415E0,9.778730182E0
1.555905042E0,-1.877096558E-1,4.834945679E-2,9.771380310E0,9.773302704E0
1.565881042E0,-1.960922241E-1,4.146377563E-2,9.764045563E0,9.766102455E0
1.575857042E0,-2.046244812E-1,3.607498169E-2,9.754914551E0,9.757127163E0
1.585833042E0,-2.082170105E-1,3.891906738E-2,9.747579803E0,9.749881078E0
1.595809042E0,-2.019300842E-1,4.849914551E-2,9.766590271E0,9.768797953E0
1.605785042E0,-1.926493835E-1,5.373825073E-2,9.761500854E0,9.763549586E0
1.615760042E0,-1.929487610E-1,4.445755005E-2,9.754615173E0,9.756624564E0
1.625735042E0,-1.983375549E-1,5.433700562E-2,9.768236847E0,9.770401291E0
1.635710042E0,-1.998344421E-1,5.703140259E-2,9.751621399E0,9.753835466E0
1.645685042E0,-2.014810181E-1,5.613327026E-2,9.762398987E0,9.764639242E0
1.655660042E0,-2.028282166E-1,5.269042969E-2,9.760153656E0,9.762403134E0
1.665634042E0,-1.933978271E-1,5.059478760E-2,9.757608948E0,9.759656496E0
1.675609042E0,-1.941462708E-1,6.242019653E-2,9.772278442E0,9.774406121E0
1.685584042E0,-1.986369324E-1,5.313949585E-2,9.768236847E0,9.770400787E0
1.695559042E0,-1.920506287E-1,4.655319214E-2,9.766290894E0,9.768289946E0
1.705535042E0,-1.995350647E-1,3.772155762E-2,9.752369843E0,9.754483826E0
1.715509042E0,-2.052232361E-1,4.924758911E-2,9.772128754E0,9.774407516E0
1.725485042E0,-1.951940918E-1,4.864883423E-2,9.762548676E0,9.764621042E0
1.735460042E0,-1.911524963E-1,5.149291992E-2,9.765392761E0,9.767399172E0
1.745434042E0,-2.017803955E-1,4.760101318E-2,9.761351166E0,9.763552518E0
1.755409042E0,-1.930984497E-1,3.906875610E-2,9.758357391E0,9.760345914E0
1.765383042E0,-1.935475159E-1,4.041595459E-2,9.761351166E0,9.763353454E0
1.775358042E0,-2.041754150E-1,4.909790039E-2,9.754016418E0,9.756276672E0
1.785331042E0,-2.055226135E-1,5.089416504E-2,9.749825134E0,9.752123867E0
1.795305042E0,-2.055226135E-1,4.475692749E-2,9.765392761E0,9.767657780E0
1.805279042E0,-2.038760376E-1,4.999603271E-2,9.775571594E0,9.777825169E0
1.815253042E0,-1.954934692E-1,5.718109131E-2,9.763446808E0,9.765571204E0
1.825227042E0,-1.942959595E-1,5.703140259E-2,9.783804474E0,9.785899728E0
1.835202042E0,-1.960922241E-1,5.254074097E-2,9.768685913E0,9.770795114E0
1.845176042E0,-2.007325745E-1,4.520599365E-2,9.767338715E0,9.769505756E0
1.855151042E0,-1.936972046E-1,4.580474854E-2,9.766590271E0,9.768618234E0
1.865125042E0,-1.971400452E-1,4.894821167E-2,9.774074707E0,9.776185171E0
1.875100042E0,-1.933978271E-1,4.430786133E-2,9.768985291E0,9.770999924E0
1.885074042E0,-1.990859985E-1,4.071533203E-2,9.757459259E0,9.759574999E0
1.895047042E0,-1.820214844E-1,4.849914551E-2,9.758058014E0,9.759876034E0
1.905020042E0,-1.953437805E-1,4.715194702E-2,9.760003967E0,9.762072523E0
