"Time (s)","Pressure (hPa)"
-5.623661667E-1,1.003611374E3
4.453068333E-1,1.003609772E3
1.453010833E0,1.003608093E3
2.460690833E0,1.003604126E3
3.468355833E0,1.003602066E3
3.817073833E0,1.003594894E3
4.891937833E0,1.003594589E3
5.966809833E0,1.003593216E3
7.041697833E0,1.003593216E3
8.116538833E0,1.003593216E3
9.191394833E0,1.003593826E3
1.026621083E1,1.003594284E3
1.134104683E1,1.003594284E3
1.241593783E1,1.003591995E3
1.349080183E1,1.003590775E3
1.456562783E1,1.003590775E3
1.564044583E1,1.003590775E3
1.671525083E1,1.003590469E3
1.779004083E1,1.003572693E3
1.886479883E1,1.003518295E3
1.993960283E1,1.003424911E3
2.101439483E1,1.003293991E3
2.208922883E1,1.003128281E3
2.316399183E1,1.002937546E3
2.423873783E1,1.002743073E3
2.531349283E1,1.002551041E3
2.638830383E1,1.002360535E3
2.746313283E1,1.002170410E3
2.853788983E1,1.001977997E3
2.961266383E1,1.001787491E3
3.068738783E1,1.001592865E3
3.176213083E1,1.001394348E3
3.283689383E1,1.001194992E3
3.391170983E1,1.000995865E3
3.498651183E1,1.000798798E3
3.606158083E1,1.000626144E3
3.713676683E1,1.000492630E3
3.821197383E1,1.000396347E3
3.928717883E1,1.000339203E3
4.036213183E1,1.000308609E3
4.143691183E1,1.000293045E3
4.251168983E1,1.000279007E3
4.358649183E1,1.000261993E3
4.466127383E1,1.000246506E3
4.573603083E1,1.000243149E3
4.681080883E1,1.000243149E3
4.788560083E1,1.000245056E3
4.896038983E1,1.000255127E3
5.003518983E1,1.000267334E3
5.110998483E1,1.000276489E3
5.218475783E1,1.000285645E3
5.325958383E1,1.000293732E3
5.433439883E1,1.000296555E3
5.540916283E1,1.000296555E3
5.648395283E1,1.000296173E3
5.755873083E1,1.000295334E3
