Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
"0,002149041742","-3,667972412","-0,03218307495","9,1079599","9,818858941"
"0,01210204163","-3,670666809","0,01856140137","9,097182312","9,809835135"
"0,02205504174","-3,653302917","0,04954696655","9,096583557","9,802903117"
"0,03200804163","-3,643423462","0,04685256958","9,097481689","9,80004606"
"0,04196204175","-3,662134552","-0,0130229187","9,124725037","9,832192333"
"0,05191504164","-3,669169922","-0,06915618896","9,14657959","9,855328949"
"0,06186804175","-3,644171906","-0,06212081909","9,127718811","9,828484042"
"0,07182104164","-3,617377625","-0,03981719971","9,097182312","9,790083366"
"0,08177504176","-3,576811981","-0,01197509766","9,106313324","9,783591861"
"0,09172804165","-3,529660034","0,01511856079","9,085356903","9,746919441"
"0,1016810418","-3,550466766","0,008681945801","9,078471222","9,748052593"
"0,1116340416","-3,551963654","-0,01841171265","9,074729004","9,74512654"
"0,1215870418","-3,505859528","-0,06780899048","9,108558655","9,760199273"
"0,1315410417","-3,478915558","-0,09205856323","9,126970367","9,767953538"
"0,1414940418","-3,483855286","-0,04864883423","9,106313324","9,750105472"
"0,1514470417","-3,511098633","-0,03308120728","9,071286163","9,727134246"
"0,1614000418","-3,462150421","-0,08008346558","9,056167603","9,695724344"
"0,1713540417","-3,406316528","-0,1365161133","9,110654297","9,727571673"
"0,1813070416","-3,401077423","-0,1454974365","9,116342468","9,731197107"
"0,1912600417","-3,441343689","-0,1387614441","9,098828888","9,728863667"
"0,2012130416","-3,526815948","-0,09235794067","9,090296631","9,750920652"
"0,2111660417","-3,615431671","-0,02424957275","9,120533752","9,811017793"
"0,2211200416","-3,593726807","0,01706451416","9,156459045","9,836457991"
"0,2310730417","-3,578757935","0,01257385254","9,17816391","9,851211053"
"0,2410260416","-3,622766418","-0,02589614868","9,153016205","9,843922632"
"0,2509790417","-3,690874786","-0,06526428223","9,142687683","9,859794835"
"0,2609330416","-3,689078522","-0,06945556641","9,117689667","9,835974241"
"0,2708860417","-3,61438385","-0,005089416504","9,097481689","9,789176146"
"0,2808390416","-3,586392059","0,03203338623","9,080267487","9,762914102"
"0,2907920417","-3,532953186","0,06735992432","9,069938965","9,733965708"
"0,3007450416","-3,489992523","0,04385879517","9,112151184","9,757728763"
"0,3106990417","-3,478167114","-0,00419128418","9,14657959","9,785580322"
