"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.260708334E-3,2.165995789E-1,8.569679260E-1,8.836125183E0,8.880226216E0
1.318970833E-2,1.523831177E-1,1.201251984E0,8.255482635E0,8.343813306E0
2.311770833E-2,1.709445190E-1,1.613943787E0,8.673563232E0,8.824099712E0
3.304670833E-2,4.240681458E-1,1.693727875E0,8.926088104E0,9.095251330E0
4.297470833E-2,6.069877625E-1,1.817370758E0,8.882678375E0,9.086982213E0
5.290370833E-2,7.682025146E-1,1.756447449E0,8.871152344E0,9.075934478E0
6.283170834E-2,7.695497131E-1,1.506616974E0,8.847501526E0,9.007795775E0
7.276070834E-2,5.423222351E-1,1.285826111E0,8.988059235E0,9.095750161E0
8.268870834E-2,3.240760803E-1,1.162033539E0,9.275162201E0,9.353287182E0
9.261670834E-2,3.562591553E-2,9.723779297E-1,9.377249908E0,9.427597992E0
1.025457083E-1,-3.100053406E-1,9.723779297E-1,9.158105621E0,9.214799006E0
1.124737083E-1,-5.309458923E-1,1.209634552E0,9.003028107E0,9.099430443E0
1.224027083E-1,-5.057981873E-1,1.195414124E0,9.049880676E0,9.142493478E0
1.323307083E-1,-3.442840576E-1,1.140178986E0,9.282646637E0,9.358742876E0
1.422597083E-1,-1.869612122E-1,1.030756531E0,9.315428467E0,9.374146417E0
1.521877083E-1,-2.317181396E-1,7.999365234E-1,9.079818420E0,9.117932566E0
1.621167083E-1,-4.463717651E-1,5.881269836E-1,8.466094666E0,8.498229227E0
1.720447083E-1,-6.632707214E-1,6.394702148E-1,7.799979858E0,7.854204988E0
1.819727083E-1,-6.125262451E-1,8.710386658E-1,7.369325409E0,7.445861518E0
1.919017083E-1,-4.087998962E-1,1.401385803E0,6.702162781E0,6.859299196E0
2.018297083E-1,-1.930984497E-1,2.330054626E0,6.154152374E0,6.583314744E0
2.117587083E-1,1.428030396E-1,3.230132904E0,5.867797852E0,6.699641999E0
2.216867083E-1,4.288581848E-1,3.811972961E0,5.656437378E0,6.834496398E0
