Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
"0,001578249969","-0,7872129822","-0,362845459","9,731862488","9,770389377"
"0,01153025008","-0,7798782349","-0,3447331238","9,736951904","9,774215231"
"0,02148324996","-0,795894928","-0,340841217","9,722581787","9,761056197"
"0,03143525007","-0,8057743835","-0,357456665","9,725575562","9,765442521"
"0,04138824996","-0,8009843445","-0,3694317627","9,724078674","9,76400337"
"0,05134125007","-0,7978408813","-0,349972229","9,739945679","9,778832878"
"0,06129324995","-0,7982899475","-0,3191363525","9,739197235","9,77706897"
"0,07124625007","-0,8008346558","-0,3146456909","9,742939453","9,780859228"
"0,08119824994","-0,7954458618","-0,337098999","9,736502838","9,774756128"
"0,09115125006","-0,7824229431","-0,3502716064","9,733209686","9,770887711"
"0,1011032499","-0,7861651611","-0,3468287659","9,742939453","9,780757386"
"0,1110562501","-0,7833210754","-0,3373983765","9,739346924","9,776620483"
"0,1210092499","-0,7834707642","-0,3402424622","9,735455017","9,772854023"
"0,13096125","-0,7824229431","-0,3641926575","9,729766846","9,767967282"
"0,1409142499","-0,7743397522","-0,3748205566","9,713301086","9,751323525"
"0,15086625","-0,7670050049","-0,3788621521","9,710906067","9,748514238"
"0,1608192499","-0,7777825928","-0,3796105957","9,708660736","9,747160779"
"0,17077225","-0,7794291687","-0,3882925415","9,704918518","9,743907038"
"0,1807242499","-0,7767347717","-0,4129911804","9,70237381","9,742173072"
"0,19067725","-0,7685018921","-0,4308041382","9,697434082","9,737372086"
"0,2006292499","-0,7770341492","-0,44697052","9,688003693","9,729387456"
"0,21058225","-0,76640625","-0,4453239441","9,696236572","9,736667583"
"0,2205342499","-0,7789801025","-0,4577481079","9,70581665","9,747780269"
"0,23048725","-0,7845185852","-0,4749623108","9,710307312","9,753518683"
"0,2404402499","-0,7777825928","-0,4935237122","9,704319763","9,747939961"
"0,25039225","-0,7767347717","-0,5087919617","9,720037079","9,764287326"
"0,2603452501","-0,7893086243","-0,516126709","9,72812027","9,773725946"
"0,27029725","-0,79215271","-0,5287005615","9,740394745","9,78684423"
"0,2802502501","-0,7943980408","-0,5361849976","9,736053772","9,78311329"
"0,29020325","-0,8029302979","-0,5516029358","9,730964355","9,77960276"
"0,3001552501","-0,8005352783","-0,5721102905","9,739047546","9,788626769"
"0,31010825","-0,7952961731","-0,5760021973","9,73740097","9,786789678"
"0,3200602501","-0,8062234497","-0,5801934814","9,740095367","9,790611753"
"0,33001325","-0,8029302979","-0,5833369446","9,743538208","9,793953025"
"0,3399652501","-0,8056246948","-0,5921685791","9,737850037","9,789045822"
"0,34991825","-0,8167016602","-0,6017486572","9,735754395","9,788463448"
"0,3598712501","-0,8110134888","-0,6045927429","9,739197235","9,79159017"
"0,36982325","-0,8156538391","-0,5993536377","9,730215912","9,782720361"
"0,3797762501","-0,8165519714","-0,6015989685","9,740095367","9,792759377"
"0,38972825","-0,807121582","-0,6042933655","9,740544434","9,792590137"
"0,3996812501","-0,8102650452","-0,6086343384","9,745035095","9,797585121"
"0,40963425","-0,8114625549","-0,6032455444","9,7502742","9,802562096"
