Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
"0,002807041863","0,6202143104","-0,2173277765","-0,3985666841","0,7686042903"
"0,01276104175","0,6274985524","-0,3324935858","-0,9269357085","1,167696975"
"0,02271504165","-0,1463509838","0,1325837877","-0,6522995907","0,6815363727"
"0,03266904177","0,2854729088","0,429155735","0,3805210072","0,6406759426"
"0,04262304166","0,1284277695","0,3683543401","0,3755228072","0,5414757526"
"0,05257704179","-0,8358694178","-0,01146953277","0,7894290769","1,14978585"
"0,06253104168","-1,20525126","-0,6926947146","0,7829363286","1,595445349"
"0,0724850418","-0,439092274","-0,4299747106","0,3602142119","0,7123444078"
"0,0824390417","0,2503898341","0,03243742883","0,0949967891","0,2697622022"
"0,09239204181","0,07399779316","-0,3042000787","-0,1731407332","0,3577584028"
"0,1023460417","-0,1739074494","-0,544330169","-0,325219211","0,6575003186"
"0,1123000418","-0,1501462653","-0,415711963","-0,2499503428","0,5077750594"
"0,1222540417","-0,103339103","-0,30750741","-0,2302183288","0,3977942387"
"0,1322080418","-0,1185145463","-0,2899378426","-0,33279194","0,4570121722"
"0,1421620417","-0,1672721022","-0,2515109646","-0,4754675102","0,563300164"
"0,1521160419","-0,1322113383","-0,1510209357","-0,5152648294","0,5529783046"
"0,1620700418","-0,04148431398","-0,07112823553","-0,5132381845","0,5198015084"
"0,1720240416","-0,05575870128","-0,07656790026","-0,5363335168","0,5446331953"
"0,1819780418","-0,03827589193","-0,09074425533","-0,4941376698","0,5038567262"
"0,1919320417","0,02687806064","-0,09534243263","-0,4598449194","0,4703934093"
"0,2018860418","0,05146779517","-0,1449706024","-0,3224394447","0,3572570573"
"0,2118400417","0,02317843594","-0,177949191","-0,1689851171","0,2464936597"
"0,2217940418","0,06277778118","-0,1998962764","-0,03069963634","0,211759389"
"0,2317480417","0,1693112455","-0,2243594187","0,1824097395","0,3350772444"
"0,2417010418","0,1688434317","-0,126953723","0,3493910158","0,4082884203"
"0,2516550417","0,0815196331","-0,08886517949","0,3834259039","0,4019426508"
"0,2616090418","-0,1099270239","0,01155365959","0,2281437367","0,2535093731"
"0,2715630417","-0,2638799088","0,1474595428","0,02053659081","0,3029829609"
"0,2815170418","-0,3512146892","0,3012704775","-0,1133564615","0,4764088012"
"0,2914710417","-0,3773022977","0,3516382469","-0,1916062403","0,5501994473"
"0,3014250419","-0,3711254818","0,2733173514","-0,177370609","0,4938591204"
"0,3113790418","-0,330499064","0,1630414955","0,02981612206","0,3697312019"
"0,3213330416","-0,2920635613","0,03068823427","0,18962228","0,3495704516"
"0,3312870418","-0,2340818035","-0,1522688046","0,2668979126","0,3862830249"
"0,3412410417","-0,07471007539","-0,3034892765","0,3473415667","0,4672617043"
"0,3511950418","0,1001975585","-0,3527302144","0,4014002448","0,5436729821"
"0,3611490417","0,1846964394","-0,3735463022","0,4558015698","0,6175796998"
"0,3711030418","0,1300272388","-0,3982515192","0,4283079618","0,5991319267"
"0,3810560417","0,06163627678","-0,4052878392","0,3334363031","0,528428833"
"0,3910100418","0,01458821605","-0,3727192135","0,1875301462","0,4174924956"
"0,4009640417","0,01755446972","-0,317990883","-0,06901527107","0,3258672563"
"0,4109180418","-0,04857601355","-0,2484712896","-0,3718297058","0,4498387944"
"0,4208720417","-0,1054963145","-0,1730283936","-0,5759583431","0,6105704795"
"0,4308260418","-0,0771205535","-0,08958409466","-0,7187730771","0,7284281888"
