Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
"0,003377166577","0,2992553625","0,1525683282","-0,01041681468","0,3360645426"
"0,0133311667","0,3263647171","0,02215714663","0,02914369226","0,3284116662"
"0,02328516659","0,259757165","-0,1214747357","-0,03192755163","0,2885294867"
"0,03324016649","0,208266456","-0,01290743619","0,05788451135","0,2165459195"
"0,04319416662","0,2095506142","0,1613929461","0,09879514039","0,2823466358"
"0,05314916652","0,1669101778","0,14192011","-0,09979969203","0,2407494623"
"0,06310316664","0,1221081445","0,1072205396","-0,2637415856","0,3097842266"
"0,07305716653","0,1048196546","0,1741188262","-0,277428748","0,3439058532"
"0,08301216667","0,1338295826","0,2486589852","-0,1634308469","0,3262687387"
"0,09296616656","0,1510277879","0,3017686602","-0,1175126624","0,3573275008"
"0,1029211667","0,1708404751","0,3473529688","-0,1380866754","0,410984772"
"0,1128751666","0,1765974975","0,3394134732","-0,1242562562","0,4022782608"
"0,1228291667","0,1202032221","0,2383373339","-0,1742628139","0,3187805322"
"0,1327841666","0,1394275333","0,198957506","-0,1790142614","0,3017784485"
"0,1427381665","0,2249534959","0,2302671531","-0,1379948741","0,3502422339"
"0,1526921666","0,2133198391","0,2039608222","-0,03809577942","0,2975847092"
"0,1626471665","0,1152598947","0,1533572638","0,1112409389","0,2217607724"
"0,1726011666","0,07621506647","0,05118111715","0,2783081692","0,2930591752"
"0,1825561665","0,08108741423","-0,02412926629","0,3771869248","0,386558361"
"0,1925101667","0,02609352419","-0,03882887408","0,3396273351","0,3428341876"
"0,2024641666","-0,02887970874","-0,04787027746","0,2443241519","0,2506389679"
"0,2124191667","-0,03865421592","-0,05964744687","0,1851129073","0,198289573"
"0,2223731666","-0,04024525244","-0,05032625422","0,1677121782","0,1796657645"
"0,2323281665","-0,03273098647","-0,06764819205","0,1205766034","0,142078544"
"0,2422821666","0,01911454797","-0,08983793691","0,1077618456","0,1415939131"
"0,2522361665","0,1305057603","-0,07075233266","0,03008217037","0,1514680924"
"0,2621911666","0,1960815164","-0,04859650165","-0,08878529191","0,2206635654"
"0,2721451665","0,3450178832","0,2579411477","-0,09960790336","0,4421455753"
"0,2820991667","0,4943559537","0,4423523891","-0,1265559661","0,6753368475"
"0,2920541666","0,3724527267","0,2758381592","-0,1365085119","0,483158667"
"0,3020081667","0,2644865209","0,226712923","-0,07718266189","0,3568039132"
"0,3119631666","0,1037924998","0,2022300464","0,007613659501","0,2274375573"
"0,3219171667","0,05877014525","0,2067306483","0,05800145566","0,2226110055"
"0,3318711666","0,05284801215","0,2372038512","0,08235276997","0,2565941506"
"0,3418261665","0,05358885437","0,274710816","0,1191995841","0,3042142972"
"0,3517801666","0,1476678499","0,291755742","0,1277417815","0,351062914"
"0,3617351665","0,1645915558","0,2501487096","0,05663145304","0,3047488779"
"0,3716891666","0,09924281783","0,1797265984","-0,01913325906","0,2061961898"
"0,3816431665","0,06999223117","0,1174155986","-0,009428050518","0,137019062"
"0,3915981667","0,002955584787","0,06720190331","0,08427884281","0,1078320668"
"0,4015521666","-0,13876667","0,008702849597","0,08200603008","0,1614215515"
"0,4115071667","-0,2855282015","-0,05942539886","0,08370172262","0,3034200228"
"0,4214611666","-0,326696108","-0,1199826725","0,1084173185","0,3645277817"
"0,4314151667","-0,3101551024","-0,157277091","0,127971577","0,3705522843"
"0,4413701666","-0,2685615917","-0,1863517861","0,06517598927","0,3333170057"
"0,4513241665","-0,1847406224","-0,1635713263","0,004362607598","0,2467867676"
"0,4612781666","-0,08891206685","-0,0923756285","0,0218703407","0,1300650767"
"0,4712331665","-0,07294357672","-0,04396170616","0,1355817282","0,1601118422"
"0,4811871666","-0,1064318233","-0,07187952965","0,2412099248","0,2732702465"
"0,4911421665","-0,185497581","-0,1800461487","0,220879156","0,340019955"
"0,5010961667","-0,261675472","-0,2497508065","0,1254303771","0,3828606764"
"0,5110501666","-0,2658569621","-0,2587901634","0,1002353096","0,3843167837"
"0,5210051667","-0,2548078806","-0,2761096162","0,1398057568","0,400885552"
"0,5309593333","-0,2017545216","-0,2661480072","0,1450933939","0,3641314895"
"0,5409143332","-0,1225914077","-0,2652722405","0,09728831291","0,3079984264"
"0,5508683333","-0,09201956961","-0,2493910566","0,00793467164","0,2659444666"
"0,5608223332","-0,1183520302","-0,2261621153","-0,0351370883","0,2576647443"
"0,5707773333","-0,1197109962","-0,2647433598","-0,08985006988","0,3041262965"
"0,5807313332","-0,06443785138","-0,3241002001","-0,1458792597","0,3612117589"
"0,5906853334","-0,01248230707","-0,2907295556","-0,08630899608","0,303527141"
"0,6006403333","0,02975849044","-0,2521779858","-0,04720515668","0,2582782048"
"0,6105943331","0,03125018824","-0,24733386","-0,1127734941","0,27362104"
"0,6205493333","-0,008954754956","-0,2492157863","-0,2806663513","0,3754494594"
"0,6305033332","-0,06369916532","-0,2423942783","-0,4653758007","0,5285709089"
"0,6404573333","-0,1005329694","-0,2260214898","-0,5375971001","0,5917797174"
"0,6504123332","-0,08617067289","-0,2079554938","-0,4469132173","0,5004021343"
"0,6603663333","-0,05854857232","-0,1939028804","-0,2588258314","0,3286595098"
"0,6703213332","-0,05265878163","-0,1561968179","-0,08902736664","0,1873399723"
"0,6802753333","-0,03265585888","-0,1055204616","-0,05431361675","0,1230891624"
"0,6902293332","-0,01265063379","-0,0638182658","-0,1389432925","0,1534211462"
"0,7001843334","-0,04301339742","-0,04367168427","-0,193406598","0,202887852"
"0,7101383333","-0,04124242198","-0,02314006358","-0,1583578026","0,1652682473"
"0,7200933332","0,0107618735","-0,03897607774","-0,05790614605","0,07062630039"
"0,7300473333","0,05860700794","-0,06201644629","0,05927380979","0,103895166"
"0,7400013332","0,03074772969","-0,1077083436","0,2760283399","0,2978895006"
"0,7499563333","-0,04826061565","-0,2157404767","0,4280056608","0,4817280207"
"0,7599103332","-0,06014727417","-0,3122543259","0,4224098754","0,5287254122"
"0,7698643333","-0,04420414634","-0,365082019","0,3146813589","0,4840074842"
"0,7798193332","-0,0217354162","-0,3290146387","0,1642172974","0,3683617536"
"0,7897733334","0,06067133088","-0,2795414932","0,05541757107","0,2913684334"
"0,7997283333","0,1842625029","-0,2125885351","0,03510434389","0,2835116756"
"0,8096823334","0,2216535466","-0,1656589285","0,04827051938","0,2808971669"
"0,8196363333","0,2909898664","-0,1634597906","-0,05127715766","0,3376737366"
"0,8295913332","0,3416785018","-0,1848671781","-0,2372420043","0,4551964858"
"0,8395453333","0,1871037746","-0,1195849156","-0,2010173339","0,2995268653"
"0,8495003332","0,1839266169","-0,09871795714","-0,1286252958","0,2451911543"
"0,8594543333","0,2456972974","-0,06712983638","-0,02967695832","0,2564260102"
"0,8694083332","0,3056903147","0,03588757843","-0,07039053619","0,3157361468"
"0,8793633333","0,2884010482","0,1270952256","-0,221593101","0,3852685601"
"0,8893173332","0,247538074","0,1468278243","-0,3450073582","0,449292316"
"0,8992713334","0,2081746182","0,1390535125","-0,3850982076","0,4593181691"
"0,9092263333","0,2728912356","0,139689251","-0,3374416459","0,4559052288"
"0,9191803331","0,2316256806","0,1529934208","-0,1678285378","0,3243822757"
"0,9291353333","0,1247393093","0,142355289","0,06563674986","0,20033249"
"0,9390893332","0,09667954467","0,120046261","0,1774010146","0,235008849"
"0,9490433333","0,07557475068","-0,01407994911","0,1615398574","0,1788991711"
"0,9589983332","-0,0001296620071","-0,1115571271","0,1265050954","0,1686669753"
"0,9689523333","-0,08556099102","-0,1201757768","0,144150238","0,2062575856"
"0,9789073332","-0,05357986428","-0,118184946","0,184502458","0,2255651576"
"0,9888613333","0,06084378719","-0,1114933924","0,2096741366","0,2451448277"
"0,9988153332","0,09328231238","-0,1220369455","0,2158973283","0,2649646433"
"1,008770333","0,04817301705","-0,1103635642","0,273342129","0,2986916058"
"1,018724333","-0,02617469542","-0,1676912744","0,2925625116","0,3382281794"
"1,028678333","-0,07925045662","-0,2342045219","0,2680679405","0,3646817978"
"1,038633333","-0,06870799989","-0,242389162","0,1908367467","0,316056892"
"1,048587333","-0,06251638323","-0,1961800785","0,08139850438","0,2214060476"
"1,058542333","-0,02739040464","-0,1654883359","-0,03053299069","0,1704960032"
"1,068496333","0,01464610577","-0,1269689257","-0,0816376555","0,1516585748"
"1,078450333","0,02651456483","-0,085180922","-0,1279411715","0,1559735715"
"1,088405333","0,03181009568","-0,049026272","-0,1817741472","0,1909379431"
"1,098359333","0,0001021800935","0,006848989874","-0,1695441109","0,1696824229"
"1,108314333","0,02474841334","0,06176823199","-0,08274804175","0,1061839765"
"1,118268333","0,1586827616","0,0898499237","-0,01773460507","0,1832150208"
"1,128222333","0,239377042","0,03003743917","-0,08648909032","0,256288858"
"1,138177333","0,07134480178","-0,05341256082","-0,188269819","0,208299081"
"1,148131333","-0,1028917728","-0,141430698","-0,2424623984","0,2989604888"
"1,158085333","-0,1525194309","-0,2824365959","-0,1909922826","0,3735112575"
"1,168040333","-0,1972072881","-0,3682922865","-0,0722183758","0,4239639332"
"1,177994333","-0,2286513481","-0,3867469762","0,010338462","0,44940132"
"1,187949333","-0,2719252025","-0,4467578276","-0,05200162768","0,5255854274"
"1,197903333","0,1561594688","0,1782754657","0,06214713156","0,2450105861"
"1,207857333","0,2572494221","0,4385712871","0,2936629575","0,587162645"
"1,217812333","0,09814778052","0,03971165746","0,2100226307","0,2352009948"
"1,227766333","0,2035445005","-0,09541588828","0,04441954315","0,2291454805"
"1,237721333","0,2976128248","-0,02002481326","-0,01634062886","0,2987329958"
"1,247675333","0,2757925509","-0,08334694281","-0,11814767","0,3113954334"
"1,257629333","0,1539973146","-0,04165249452","-0,1510049289","0,2196647259"
"1,267584333","0,196022021","-0,008445133567","-0,005257816315","0,1962742918"
"1,277538333","0,1585652326","-0,02251397297","0,3083815688","0,3474895739"
"1,287492333","0,2378372874","-0,01191560224","0,6156258541","0,6600785931"
"1,297447333","0,2162705999","0,1236988704","0,4570253921","0,5205253038"
"1,307401333","0,4180546499","-0,05326404154","0,1497612262","0,4472529187"
"1,317356333","0,475234791","0,007246015817","-0,1490396798","0,4981098649"
"1,327310333","0,02466107056","0,1879325809","-0,5742562187","0,604728888"
"1,337264333","-0,180744087","0,04303609192","-0,8244644237","0,8451402937"
"1,347219333","0,03217441376","-0,01132225603","-0,6886476374","0,6894918091"
"1,357173333","0,4091464534","0,06163111478","-0,5759951806","0,7092035411"
"1,367128333","0,9032822594","-0,01150293499","-0,5088937032","1,036833622"
"1,377082333","1,187929395","-0,1209420544","-0,1586139107","1,204558675"
"1,387036333","1,060563517","-0,1243876724","0,3452506024","1,122258992"
"1,396991333","0,9940059764","-0,1749063","0,8178547311","1,299048289"
"1,406945333","0,8986989925","-0,2190498546","1,13307111","1,462700536"
"1,416899333","0,7180695109","-0,1505998631","1,064086829","1,292511092"
"1,426854333","0,5700039407","-0,1345358075","0,6727285928","0,8919462626"
"1,436808333","0,3814179701","0,05864991188","0,1736289757","0,4231624998"
"1,446763333","0,0528009512","0,3409936832","-0,1836633825","0,3908924027"
"1,456717333","-0,3309825191","0,4038081282","-0,4758364695","0,7064211054"
"1,466671333","-0,7178359146","0,3587848601","-0,7636071879","1,107750384"
"1,476626333","-1,04656594","0,3102817677","-0,8176822382","1,363883897"
"1,486580333","-1,362734538","0,1451964511","-0,7161213648","1,546272046"
"1,496535333","-1,701741338","-0,00627230823","-0,3893543959","1,745726143"
"1,506489333","-1,725344939","-0,02712464869","0,09498275578","1,728170313"
"1,516443333","-1,117439968","0,2193511324","0,4732648641","1,233193672"
"1,526399042","-0,2016194692","0,5438471889","0,7169674569","0,9222052427"
"1,536353042","-0,02251157926","0,2583605392","0,3592225242","0,4430550319"
"1,546307042","-0,04042498123","-0,04982836381","-0,2799430507","0,2872022921"
"1,556262042","0,1923722986","0,1626663235","-0,8685997921","0,9043965021"
"1,566216042","0,3614156686","0,3418918155","-0,8890662163","1,018798329"
"1,576171042","0,09123335665","0,1795501587","-0,1464136952","0,2489954919"
"1,586125042","0,03660722449","-0,1058487097","0,2492457533","0,2732535156"
"1,596079041","0,208515858","-0,2665788739","0,4337704307","0,5501817387"
"1,606034042","0,2573287249","-0,3206022495","0,7607619327","0,8647326716"
"1,615988042","0,2321969901","-0,2974251292","1,043101172","1,109250741"
"1,625943042","0,6822399661","-0,1827007847","1,273165135","1,455946568"
"1,635897042","0,929751289","-0,07310751803","1,312471288","1,610081691"
"1,645851042","0,8045231525","-0,07978087217","1,287443451","1,520241142"
"1,655806042","0,4055312296","-0,09349968262","1,137464123","1,211207002"
"1,665760042","-0,604878891","-0,01975642607","0,7882923782","0,9938177211"
"1,675714042","-0,235893344","-0,5572226948","0,1693833125","0,6283577865"
"1,685669042","-0,09112688251","-0,274350189","-0,1077817261","0,3085272036"
"1,695623042","-0,1778236952","0,4783273834","-0,8362214202","0,9796349401"
"1,705578041","-1,222317601","0,6916501826","-1,460580091","2,026261211"
"1,715532042","-1,87357361","0,50266598","-1,735431386","2,602820251"
"1,725486042","-0,879895955","0,4739638987","-1,572274189","1,863036445"
"1,735441042","0,2231410052","0,4120262437","-1,08277687","1,179814936"
"1,745395042","0,619306384","0,09600952685","-0,6323605853","0,8903022725"
"1,755350042","0,8146758923","0,2743845414","-0,4770959598","0,9831603332"
"1,765304042","1,011792037","0,07015080035","-0,731375581","1,250421729"
"1,775258042","0,7109241403","0,05169245616","-1,005584267","1,23259278"
"1,785213042","-0,4522289941","0,516162377","-1,086874014","1,285390907"
"1,795167042","-1,270927698","0,6441539077","-1,034435014","1,760751904"
"1,805121042","-0,7297123405","0,3220466579","-0,8851737249","1,191522838"
"1,815076042","0,03688664831","0,178396503","-0,6855439353","0,7093351989"
"1,825030042","0,1318305932","0,4372204341","-0,4779297727","0,6610278973"
"1,834985042","0,2089683777","0,4886362439","-0,3878428906","0,6579173729"
"1,844939042","0,2366494621","0,2709757608","-0,5701386094","0,6741578931"
"1,854893042","0,2450807085","0,2427220879","-0,5752081454","0,6707033444"
"1,864848042","0,1495768927","0,2375553419","-0,4424868751","0,5240233028"
"1,874802042","0,3069996525","0,2245100576","-0,3622712624","0,5252561472"
"1,884756042","0,4222936254","0,1430389747","-0,2463162982","0,5093758663"
"1,894711042","-0,1685758485","0,06169967338","-0,03202403069","0,1823463873"
"1,904665041","0,2342987352","0,04061439447","0,1789745003","0,2976193846"
"1,914620042","0,2263166646","0,09420748807","0,193396073","0,3122440144"
"1,924574042","-0,06953271311","0,1185222573","-0,01406781614","0,1381311953"
"1,934528042","0,2747777483","0,09260217156","-0,2692245197","0,3956764021"
"1,944483042","0,1271762644","0,1985922012","-0,2476477093","0,3419679115"
"1,954437042","0,3942461034","0,2030257063","-0,3611316401","0,571896397"
"1,964392042","0,1707370708","0,1581185419","-0,4365472734","0,4946980317"
"1,974346042","-0,1773418663","0,1145926177","-0,2657331473","0,3394049368"
"1,984300042","0,1535729164","0,01803441192","-0,1943193483","0,24833423"
"1,994255042","0,08900310983","-0,05440722245","0,01726916671","0,1057351575"
"2,004209042","-0,4841779247","0,1661260479","0,3428666925","0,6161036401"
"2,014163041","-0,8530590624","0,7016704099","0,993892175","1,485891242"
"2,024118042","-0,7176479267","0,4833874542","1,711059022","1,917395357"
"2,034072042","-0,04362563287","-0,4018630154","1,639472145","1,688569215"
"2,044027042","0,5144299566","-0,536578369","1,08731197","1,317118767"
"2,053981042","0,08220769507","0,2984763124","0,4017347056","0,5071853585"
"2,063935042","0,0401124841","0,3463322642","-0,2669528764","0,4391114743"
"2,073890042","-0,1535509711","0,005228598509","-0,4758341306","0,5000233583"
"2,083844042","-0,3944813076","-0,1034164781","-0,1315775549","0,4285126871"
"2,093798042","-0,6856913582","-0,02818909775","0,3694960821","0,7794194113"
"2,103753042","-0,5890099498","0,07285724807","0,4401672846","0,7389101014"
"2,113707042","-0,3429323641","0,1137766114","0,6079782808","0,7072378055"
"2,123662042","-0,1348244224","0,1287837005","0,6748014307","0,7000855928"
