Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
"0,02626604168","-0,2662210243","0,3846134369","-0,1144358575","0,4815565336"
"0,03622004157","-0,1553636993","0,4385924102","-0,2105903953","0,5107342713"
"0,0461750417","-0,1476483348","0,3632074747","-0,2497778499","0,4648749023"
"0,05612904159","-0,1275303315","0,3693338949","-0,103317377","0,4041608489"
"0,06608304172","-0,0905391277","0,3769961229","0,1489700979","0,415349853"
"0,07603804162","-0,009415698275","0,3803613416","0,3049942768","0,4876319457"
"0,08599204174","-0,1200945918","0,3121366141","0,6710241294","0,7497501978"
"0,09594604163","-0,9358343668","0,2111105783","1,31123811","1,624715058"
"0,1059010418","-0,3408615727","0,2310598893","0,3155052316","0,5187666483"
"0,1158550417","0,07413326584","0,2106180234","-0,528134551","0,5733949746"
"0,1258090416","0,1190920502","0,06842214413","-0,6773221654","0,6911076775"
"0,1357640417","0,0673339773","0,0478237921","-0,4407853353","0,4484558968"
"0,1457180416","0,05606838444","0,1144569806","-0,1712760562","0,2134936804"
"0,1556730417","0,1524964075","0,1741191186","-0,03250818014","0,2337293382"
"0,1656270416","0,2455030602","0,1245967834","-0,07500925183","0,2853462789"
"0,1755810417","0,3003469829","0,02643263072","-0,23784953","0,3840304584"
"0,1855360416","0,2747479093","-0,05381843068","-0,4305065149","0,5135354871"
"0,1954900417","0,05596429487","-0,170132487","-0,4682011753","0,5012877477"
"0,2054440416","-0,1309475631","-0,1932223376","-0,3258033478","0,4007866733"
"0,2153990415","-0,04682471308","0,2061891961","-0,4997574288","0,5426453961"
"0,2253530417","-0,1091771185","0,3034956354","-0,911642316","0,9670165232"
"0,2353070416","-0,160582924","0,08585503288","-0,8427580225","0,862205919"
"0,2452620417","0,06854241405","0,01402600855","-0,8122992915","0,8153066481"
"0,2552160416","0,07594747413","-0,08928544812","-0,5239573002","0,5369088959"
"0,2651700417","0,04251423706","-0,1402874943","-0,1156912547","0,1867418213"
"0,2751250416","0,1506213151","-0,03420628466","0,09365602255","0,1806330563"
"0,2850790417","0,2343464996","0,04470422946","0,06340837598","0,2468549618"
"0,2950330416","0,1664544239","-0,0346696765","-0,04042998791","0,1747674043"
"0,3049880418","0,07947879952","-0,1418810067","-0,08937176764","0,1855651166"
"0,3149420416","0,04765319958","-0,1335836615","0,01719666123","0,1428675863"
"0,3248960415","0,05244519381","-0,06755098209","0,1640488976","0,1850018225"
"0,3348510417","0,1059308631","-0,04133776814","0,2990400571","0,3199298588"
"0,3448050416","0,1341101394","-0,02122151904","0,3839082992","0,4072118178"
"0,3547590417","0,1371902972","-0,04787232399","0,3835989815","0,4101964355"
"0,3647140416","0,101587734","-0,06850795202","0,3389864802","0,3604514405"
"0,3746680417","0,01783987323","-0,04893023148","0,288991617","0,2936470386"
"0,3846220416","-0,04434024028","-0,01123761758","0,2539556855","0,258042305"
"0,3945770417","-0,03656482304","0,01705398917","0,2504859477","0,253714475"
"0,4045310416","0,01119255748","0,04614140198","0,1977329528","0,2033534434"
"0,4144860418","0,05669867774","0,04844688602","0,1471130222","0,1649366003"
"0,4244400417","0,05744035137","0,0527127222","0,09753506541","0,1248643826"
"0,4343940415","0,004988086084","0,037896901","0,1216729563","0,1275357378"
"0,4443490417","-0,06759748572","0,0141553051","0,1967558831","0,2085249872"
"0,4543030416","-0,1692598266","0,04684277549","0,2464268106","0,3026042093"
"0,4642570417","-0,1871838814","-0,05004116591","0,1683787608","0,2566969631"
"0,4742120416","-0,07813085186","-0,1465340017","-0,2482365239","0,298660368"
"0,4841660417","-0,06082677545","0,006177839153","-0,2555554837","0,2627673259"
"0,4941200416","-0,1625197411","0,07739100549","-0,05086083591","0,1870530903"
"0,5040750417","-0,07966622106","0,1222591032","-0,1441595936","0,2051243123"
"0,5140290416","-0,05248607864","0,05820409823","-0,254819904","0,2666002419"
"0,5239830418","0,03101395159","-0,09152416427","-0,2665184283","0,2834971084"
"0,5339381667","0,06016703137","-0,1294829727","-0,2389575773","0,278364214"
"0,5438921666","-0,1756099393","0,1397970956","-0,1812607616","0,2885091722"
"0,5538461667","-0,3965520991","0,3312241918","-0,1155591077","0,5294496576"
"0,5638011666","-0,451164472","0,2931113458","-0,03048679769","0,5388813289"
