Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
"0,0257355416","-0,02297093287","0,07365299016","0,1551441729","0,1732689848"
"0,03569154162","-0,06795897156","0,194451203","0,3184089589","0,3792281072"
"0,04564754164","0,1230825739","0,07434997827","0,3155239427","0,3467457248"
"0,05560354167","0,2077151732","-0,008950332999","0,2497211319","0,3249405259"
"0,06555854168","0,3494662987","0,06373932838","0,1165355927","0,373858182"
"0,07551454159","0,4446211088","0,005122160912","0,08313805103","0,4523561677"
"0,08547054161","0,3747881046","-0,1065084949","0,1314278662","0,4111976007"
"0,09542654164","0,3083415154","0,01446630388","0,04846289277","0,3124618633"
"0,1053815417","0,3066339822","0,09941611469","-0,02604057491","0,3233977032"
"0,1153375417","0,1352925834","0,09936144322","-0,1167256272","0,204454522"
"0,1252935417","0,007289431393","0,1308025065","-0,2708605707","0,3008785141"
"0,1352495416","-0,01801497906","0,2090452686","-0,3048165214","0,3700507742"
"0,1452045416","0,01619664118","0,2270485532","-0,2265538788","0,3211542257"
"0,1551605416","0,1129227443","0,1228090703","-0,1751100755","0,2418618458"
"0,1651165417","0,2171943869","0,08490449488","-0,1594816375","0,2825182607"
"0,1750715417","0,1762844887","0,06517774343","-0,1879862291","0,2658254719"
"0,1850275416","0,1377345268","0,07193917125","-0,2920397705","0,3308070008"
"0,1949835416","0,01612793639","0,1592948189","-0,3420375574","0,3776567758"
"0,2049395416","-0,1752556711","0,2265483239","-0,452501986","0,5355340705"
"0,2148945417","-0,3948408383","0,1956244469","-0,5513936055","0,7058350515"
"0,2248505417","-0,3399860618","0,3247993809","-0,3780137211","0,6033071634"
"0,2348065417","-0,3444442713","0,7724724439","-0,02479921103","0,8461504201"
"0,2447625416","-0,6085881454","0,4021019107","-0,3036447394","0,7901048064"
"0,2547175416","0,1178399603","0,07268030584","-0,5385776782","0,5560886607"
"0,2646735416","0,7845330571","-0,231274336","-0,4378020859","0,9277125646"
"0,2746295417","0,9016983949","-0,2222029656","0,1856368178","0,9470455012"
"0,2845845417","0,3947364655","-0,2471170744","0,4076199281","0,6189004213"
"0,2945405416","0,04047954306","-0,2401878315","-0,2565723145","0,3537769642"
"0,3044965416","-0,2952501842","0,4130180776","-0,2391265619","0,5611934749"
